Date,C,I,U,Y,P,R
1959-01-01,309.5,83.166,5.8,510.33,28.993,2.57
1959-04-01,315.5,89.381,5.1,522.653,29.043,3.08
1959-07-01,320.7,83.606,5.3,525.034,29.193,3.58
1959-10-01,322.9,86.524,5.6,528.6,29.37,3.99
1960-01-01,326.4,96.476,5.1,542.648,29.397,3.93
1960-04-01,332.2,87.096,5.2,541.08,29.573,3.7
1960-07-01,332.1,86.377,5.5,545.604,29.59,2.94
1960-10-01,334.0,75.963,6.3,540.197,29.78,2.3
1961-01-01,334.5,78.378,6.8,545.018,29.84,2.0
1961-04-01,339.5,84.108,7.0,555.545,29.83,1.73
1961-07-01,342.4,90.917,6.8,567.664,29.947,1.68
1961-10-01,349.6,92.931,6.2,580.612,29.99,2.4
1962-01-01,354.9,98.074,5.6,594.013,30.107,2.46
1962-04-01,360.5,96.706,5.5,600.366,30.22,2.61
1962-07-01,364.4,98.16,5.6,609.027,30.307,2.85
1962-10-01,370.6,94.968,5.5,612.28,30.38,2.92
1963-01-01,374.3,99.689,5.8,621.672,30.477,2.97
1963-04-01,378.4,101.65,5.7,629.752,30.533,2.96
1963-07-01,385.4,104.612,5.5,644.444,30.72,3.33
1963-10-01,390.0,107.189,5.6,653.938,30.803,3.45
1964-01-01,399.6,110.474,5.5,669.822,30.93,3.46
1964-04-01,407.5,110.518,5.2,678.674,30.98,3.49
1964-07-01,416.4,112.631,5.0,692.031,31.05,3.46
1964-10-01,419.0,114.984,5.0,697.319,31.193,3.58
1965-01-01,429.7,126.542,4.9,717.79,31.29,3.98
1965-04-01,436.6,127.052,4.7,730.191,31.49,4.08
1965-07-01,445.8,131.237,4.4,749.323,31.583,4.08
1965-10-01,459.8,133.752,4.1,771.857,31.75,4.17
1966-01-01,470.1,144.2,3.9,795.734,32.047,4.56
1966-04-01,475.2,143.501,3.8,804.981,32.337,4.91
1966-07-01,484.3,143.194,3.8,819.638,32.617,5.41
1966-10-01,490.1,145.855,3.7,833.302,32.883,5.56
1967-01-01,494.3,142.811,3.8,844.17,32.967,4.82
1967-04-01,503.4,137.495,3.8,848.983,33.167,3.99
1967-07-01,510.7,142.835,3.8,865.233,33.5,3.89
1967-10-01,518.2,147.653,3.9,881.439,33.867,4.17
1968-01-01,536.3,152.288,3.7,909.387,34.2,4.79
1968-04-01,550.0,158.943,3.6,934.344,34.533,5.98
1968-07-01,566.1,155.683,3.5,950.825,35.0,5.95
1968-10-01,574.9,160.76,3.4,968.03,35.433,5.92
1969-01-01,587.0,172.388,3.4,993.337,35.867,6.57
1969-04-01,598.4,172.721,3.4,1009.02,36.433,8.33
