C,I,U,Y,P,R
100.81561923175207,60.25964004032609,9.039852915926717,325.39402216192855,103.26005739442415,1.9821185232034653
100.99989606540129,46.21564959330674,2.4302059951602835,282.0578970261734,105.88925552426086,1.9872981020172966
101.05422497396906,38.244470170033324,0.5109498783533065,299.4869229180791,102.83747699984106,1.8768565864493156
101.17821644368118,82.10712094771885,3.8497954082650256,333.0958901574575,100.9162522656659,7.7536324036558915
100.91017357251488,75.66450557391876,8.555650151708901,236.09248272972735,101.99150881424337,3.3626915172366663
100.8593875483934,36.27304434930873,5.715196579197286,285.20344603130246,106.43808803771009,1.6378502516141007
100.9945065642837,39.719496496117834,5.307228457334375,306.5594506934991,103.5289152063836,1.8913320516908652
100.81925643473527,75.26040200525233,3.7421409083357227,256.39453597803447,104.23566486529663,0.8080757573757597
100.76023744904323,41.411401562889374,3.4423448051044256,305.70846307351866,105.14750437218082,2.4905314401820546
100.76326213714567,49.48226677138856,6.2494092951377045,266.00896234527545,105.80605541428199,2.3166643240627365
100.83060545437424,40.74572628347082,2.45489250688447,326.49346237236404,101.11664918645899,2.2762035703142107
100.89639733013753,39.141858815910176,4.925650009144668,310.6981573416697,101.88130630384869,2.2518174135196176
100.90832498500542,47.54082666452399,2.1645222343008186,279.143567499425,103.5560832890327,2.0924366313000236
100.67377905768035,42.90189259214567,4.880990151726423,320.73582554955135,102.513037259001,2.145490784184128
100.97011939914411,67.43264103458543,1.866692011335556,338.3548853800986,103.82447377196073,2.957925751776935
100.8701592858561,41.21268662121064,5.120807477824793,300.1958636849864,104.98035316188843,1.8393968299630437
100.96794970796005,76.96600709784597,10.313068350593834,329.1660628623851,100.82814711435478,1.4101885557314766
100.8603788653059,74.51225260247861,4.515343631344825,317.35029631928296,102.15442028395731,4.050355596818112
100.98318095501517,62.0117468345788,5.902098122329113,293.6741005847665,100.86358231564215,3.0079459056431275
100.86697754435147,33.42673085255848,2.052856401306437,327.72363713051897,102.3125600590967,2.9148039502426557
101.06715668128145,38.236786834492506,6.163308263960948,307.38593893367124,102.61360075207702,1.4597231574329257
100.88560545703821,42.239207919186974,4.9301783542659825,310.44957584192514,101.68186982694165,2.5429176082826532
100.9683605761096,37.394599322555244,1.7451202558625056,322.50875979750634,104.26183190727177,2.6869987344020916
100.91481151389091,76.6596817140015,6.592136548165966,308.7725312537408,101.47501653219584,7.7750453064837854
100.86453950291096,65.8260956372494,6.790317827742152,328.46660273633705,102.36202658640855,2.3464144770001276
100.79313629627931,75.61275209691624,2.540091928945588,266.70240604078344,101.78836849406244,1.7805710977104665
100.960013749149,33.43570073461944,0.6484124703536811,309.5533014092362,103.15711765591794,0.9836101269391693
101.06677470478239,33.499020753307136,2.77944863610167,271.5906036505145,101.04105118181967,2.057355958597247
100.86840596873783,42.25968860040278,5.647305368221686,285.1415634831157,103.20352118627474,1.9789962948767519
101.04283180384547,40.49064292333799,6.932200162633277,283.62434404545536,102.76079239877502,1.9936326977081513
100.79355622330044,41.54350973798111,0.8167104334237476,318.70327020073205,101.4539780583857,2.6487592140890825
100.90224175686271,57.560327524407846,0.5368601023424425,179.11563791833322,101.81878263420661,2.4762850773041616
100.98920815007799,32.42987011022249,3.093111676137147,305.7930553509845,100.15943423454738,2.3288314269438324
101.1130327679168,66.5531271596846,3.0629750587744917,272.0264328211873,107.51348382475915,2.3979075974419857
101.1669466687355,38.47721706482155,1.809644143208974,266.6326300978505,101.94309904765879,2.158062090269769
100.86237614601238,42.1828469982767,3.359718334703267,289.8308717613078,103.96042550556874,2.6287875865633663
101.13615567676798,31.16543653836289,2.5258146386023923,277.1021892835618,106.0184074274268,1.5523570266956934
100.94506068900128,73.25669975366107,10.776002581820695,262.44736008185396,107.59625238757174,1.9605902445582792
101.04891417001627,65.3977532867528,6.826841244345212,297.09171841768983,102.82869702156569,2.435473187848299
