x0,x1,x2,x3,x4
-0.2714,-0.1901,-0.0736,-0.7106,-0.0823
-0.1538,0.2823,-0.271,-0.7608,-0.0631
0.0075,0.539,-0.4688,-0.457,0.3611
-0.2883,0.4362,-0.4129,-0.0394,0.1903
-0.6029,-0.0715,-0.2252,0.0439,0.2586
-0.2496,-0.3663,-0.156,-0.3433,0.029
-0.2316,-0.505,-0.2674,-0.5017,0.2785
-0.461,-0.5691,-0.3802,-0.456,-0.0104
-0.3773,-0.207,0.1327,-0.322,0.3348
-0.4498,-0.3328,-0.0223,-0.15,-0.0341
-0.4696,-0.6053,-0.2025,-0.814,0.2568
-0.0646,0.387,-0.3072,-0.2597,0.4875
0.1531,0.6493,-0.3006,-0.4045,0.3311
0.2339,0.013,-0.4427,-0.345,-0.1678
-0.0207,-0.3363,-0.2492,-0.3808,0.0885
-0.0904,-0.2642,-0.2475,-0.2182,0.0299
-0.308,0.1386,0.0605,-0.5735,-0.3942
-0.2411,0.4529,-0.4257,-0.4716,-0.7058
0.1894,0.4733,-0.5838,-0.148,-0.3353
0.1135,0.0249,-0.485,-0.4287,-0.3396
0.3345,0.1122,-0.4449,-0.6058,0.2046
0.3938,0.3274,-0.4297,-0.5386,0.3531
0.4264,0.2831,-0.7797,-0.6409,0.591
0.4515,0.3293,-0.7536,-0.5922,0.0905
0.194,0.1976,-0.6686,-0.356,0.339
0.2428,0.4078,-0.3922,-0.6608,0.2357
0.3639,-0.0441,-0.3684,-0.5225,0.6668
0.3509,0.0679,-0.2508,-0.9804,0.4569
0.1003,0.1539,-0.4021,-0.6297,-0.0871
-0.0483,0.2666,-0.5557,-0.4124,-0.2118
-0.4301,-0.0776,-0.124,-0.8217,0.1343
-0.2922,0.1291,-0.1904,-0.5386,-0.1866
-0.3082,-0.1902,-0.0798,0.0938,-0.2816
-0.343,0.1485,-0.1073,-0.049,-0.0857
-0.3722,0.4544,0.0984,-0.0768,-0.1665
-0.2568,0.1105,0.2319,-0.1675,-0.2938
-0.4191,0.147,0.0625,-0.091,-0.2568
-0.4059,-0.291,0.0882,-0.3684,-0.0924
0.0028,0.0003,0.0253,-0.3702,-0.4153
0.076,-0.0114,-0.2263,-0.0315,0.0396
0.0562,-0.2924,0.0547,-0.3876,-0.3738
-0.0282,-0.0572,0.0819,-0.1202,-0.9226
0.0641,0.1696,0.0601,0.1156,-0.5575
-0.1905,-0.241,0.3106,-0.0769,-0.3976
-0.3919,0.1539,0.0636,-0.1442,-0.8013
-0.5269,0.1828,0.2183,-0.501,-0.417
-0.422,0.0912,0.0597,-0.1918,-0.3899
-0.162,0.4607,0.1504,-0.2846,-0.3673
0.2473,0.4274,-0.2105,-0.5474,-0.3255
0.1403,0.6229,-0.2881,0.2496,-0.2933
-0.0112,0.219,0.2215,-0.1112,0.2361
