x0,x1,x2,x3,x4
0.2092,0.3319,0.0869,0.3335,0.1565
-0.0299,0.3127,0.0587,0.4621,0.1497
-0.0729,0.2248,0.3055,0.017,0.3006
-0.2121,0.2493,0.3945,0.192,0.3636
0.0788,0.5184,0.3295,0.0969,0.5058
-0.3205,0.6547,0.6172,0.2253,0.7895
-0.97,0.8573,0.4078,0.2791,0.8857
-0.7984,0.7346,-0.0335,-0.1307,0.7144
-0.766,0.4928,-0.0488,-0.1837,0.4063
0.5911,0.4719,-0.0627,-0.1671,0.382
-0.303,0.3779,-0.3153,0.0331,0.6643
-0.4487,0.1379,-0.0875,-0.0087,0.6753
-0.2358,0.0463,-0.0126,-0.1574,0.6652
-0.0361,0.0661,-0.0516,0.0662,0.6272
0.0721,-0.1282,0.0095,0.0993,0.8602
0.0886,0.1424,-0.5261,0.0501,0.8104
0.1366,-0.1427,-0.2405,0.3885,0.7513
0.1098,0.0495,-0.0823,0.4416,0.8898
-0.0874,0.235,0.2891,0.2142,1.2092
0.1199,0.2263,0.1277,0.077,1.145
-0.3549,0.2523,-0.1826,0.342,0.8882
-0.5608,0.2831,0.0492,-0.0498,0.5963
-0.3512,0.3354,0.2834,-0.2214,0.6925
-0.1116,0.481,0.0584,-0.0684,0.5986
-0.4038,-0.0768,0.0929,-0.1658,0.5187
-0.0263,0.0473,-0.0271,0.1942,0.0411
-0.13,0.0693,0.0048,-0.0909,0.4553
0.2264,0.2504,-0.3679,-0.0168,0.2234
0.2401,-0.0554,-0.5314,-0.0798,0.6567
0.4046,-0.2331,-0.1635,0.109,0.9582
-0.1712,-0.1021,-0.2166,0.4497,0.8647
-0.0448,-0.2964,-0.2275,0.3361,0.9404
-0.2874,-0.4143,-0.3296,0.4325,0.7352
-0.4201,-0.3574,-0.2761,0.1319,0.7809
-0.3704,-0.2148,-0.3648,0.081,0.1972
-0.2315,-0.2719,-0.0977,-0.1849,0.1636
-0.0859,0.0055,-0.3198,-0.0356,-0.0202
0.3245,-0.0331,-0.299,0.0906,0.1768
0.4287,-0.4154,-0.0241,-0.0548,0.3079
0.0902,-0.36,-0.0488,0.3872,0.5081
0.228,-0.161,-0.0623,0.1985,0.5792
-0.2286,0.0557,-0.4991,-0.1563,0.5518
-0.2779,-0.4174,-0.509,-0.3405,0.377
-0.0461,-0.5084,0.6507,-0.0847,0.5253
0.8925,0.0156,0.0935,0.2084,0.3872
0.4264,-0.0385,-0.0012,0.0315,0.6006
0.2522,0.0006,0.2966,0.2786,0.5979
-0.1163,-0.0512,0.2118,-0.3616,0.2084
0.2127,-0.0589,-0.5477,-0.5212,0.1995
0.0603,-0.5394,-0.0125,-0.5594,0.1997
0.1288,-0.4237,0.2785,-0.4041,0.3742
0.1397,-0.2322,0.1301,-0.2513,0.3466
0.3083,-0.3053,0.2085,-0.3156,0.3961
0.1942,-0.1351,0.0357,-0.371,0.5535
-0.2007,-0.1893,-0.0181,-0.5892,0.1258
0.2275,-0.3139,0.3444,-0.6125,0.3329
-0.0684,-0.1186,0.4968,-0.1762,0.214
-0.0522,-0.0221,0.5306,-0.4743,0.4784
-0.0147,-0.0621,0.0638,-0.6862,0.1476
