x0,x1,x2,x3,x4
-0.1874,-0.3756,0.1848,0.0924,-0.1707
0.1632,0.1388,0.2293,0.078,0.0066
0.1988,0.2494,-0.0137,0.0073,0.0401
0.0241,0.4243,-0.0034,0.1527,-0.0308
0.0792,0.3201,0.1955,0.0914,-0.0784
-0.0657,0.1591,-0.0361,0.0514,-0.1782
0.1952,0.1037,-0.0079,-0.047,0.136
0.3346,0.16,-0.1121,-0.0111,0.1563
0.0999,-0.071,0.6282,-0.1939,0.2883
0.3104,0.6464,0.4219,-0.2365,-0.1932
0.018,0.4207,0.1022,0.063,-0.3942
0.3586,0.1672,0.246,-0.1972,-0.3349
0.332,0.1025,0.1627,0.1665,-0.5568
0.2225,-0.3044,0.5382,-0.1518,-0.2487
0.4254,-0.0839,0.2892,-0.1989,-0.4768
0.6064,0.5259,-0.515,-0.4248,-0.3724
0.6,0.4514,-0.6241,-0.4517,0.2637
0.3754,-0.1721,-0.6903,-0.5205,0.5857
0.1,-0.2914,-0.7081,-0.1519,0.8205
0.4074,0.4029,-0.3429,-0.2654,0.5792
0.2813,0.1133,0.1368,0.0245,0.4558
0.3797,0.2149,-0.1465,-0.1598,0.6475
0.085,0.3881,-0.058,-0.0546,0.7475
-0.2378,-0.5031,-0.0282,-0.0959,0.4927
-0.1727,-0.159,-0.1517,-0.2376,-0.5006
0.0024,0.1821,0.0628,-0.3594,0.1634
-0.0335,0.1618,0.3012,-0.3309,-0.0472
0.3656,0.1682,-0.6634,-0.3475,-0.2217
0.3806,0.5187,-0.442,-0.3198,0.4222
0.1627,0.4571,-0.63,-0.1324,0.3636
0.0055,1.024,-0.8105,-0.1937,0.6647
0.0568,0.5218,-0.5667,-0.1933,0.6207
0.3069,0.4307,-0.1655,-0.0223,0.7103
0.2453,0.6261,0.0645,-0.1585,0.4077
0.3586,0.2006,0.0637,-0.397,0.248
0.125,0.5497,0.1612,-0.3166,-0.3691
0.2234,0.6362,-0.0349,-0.2312,-0.0634
0.1994,0.2044,0.2853,-0.3615,0.1853
0.0977,0.6567,0.0122,-0.3644,-0.033
-0.187,0.8078,-0.0032,-0.1646,0.3567
-0.2973,0.8062,-0.008,-0.0893,0.6016
-0.2257,0.7298,-0.2983,-0.1707,-0.0698
-0.4798,0.3051,-0.2151,-0.1605,-0.0738
-0.4744,0.174,-0.0059,-0.0526,-0.3543
-0.3597,-0.1122,0.0335,-0.1164,0.1029
-0.1801,0.1084,0.1524,-0.364,0.1704
-0.1129,0.2582,-0.0751,-0.3226,-0.0145
-0.4366,-0.5094,0.1264,-0.1864,-0.1967
0.0039,-0.1868,-0.2552,-0.4283,0.1576
0.0465,0.3668,-0.3885,-0.2348,-0.0771
0.2435,0.2634,-0.4118,-0.3191,0.0865
0.0841,0.4301,-0.3107,-0.4485,0.0503
-0.0395,0.4877,-0.2422,-0.3906,0.0344
-0.1253,0.2576,-0.2244,-0.4597,0.2887
-0.1185,0.1361,-0.1433,-0.5513,0.3731
-0.6155,0.0614,-0.051,-0.5432,0.5183
-0.5696,-0.1717,0.0886,-0.484,0.3964
-0.1946,-0.2789,-0.1545,-0.678,0.0524
-0.2718,0.1747,-0.4277,-0.6825,0.1634
0.3079,0.1816,-1.1141,-0.6192,0.0947
-0.1292,-0.1014,-1.077,-0.7893,0.4366
-0.1148,0.0412,-0.8539,-0.7771,0.8869
0.0015,-0.381,-0.6541,-0.8177,1.1807
-0.1379,0.1871,-1.1039,-0.3318,0.8728
-0.2451,0.3323,-0.561,-0.667,0.7767
-0.3154,0.3954,-0.0297,-0.6474,0.3077
-0.3527,0.2033,0.0524,-0.7962,0.3775
0.0398,-0.0333,-0.359,-0.8867,0.414
0.0903,0.2744,-0.5776,-0.7846,0.6323
0.0927,0.0724,-1.0693,-0.8561,0.2549
0.1336,0.6704,-1.0608,-0.8445,0.4564
0.0365,0.4943,-0.9176,-0.8305,1.0843
0.1926,0.2561,-1.3642,-0.8737,0.9622
0.0855,0.5371,-1.0056,-1.0677,1.0989
-0.1792,0.5888,-1.0557,-0.6807,0.9604
