x0,x1,x2,x3,x4
0.0525,0.3988,-0.2873,-0.1429,0.4134
0.1424,0.2067,-0.222,-0.2687,0.086
0.2809,0.3762,-0.5188,-0.247,-0.3175
0.2938,0.4772,-0.5373,-0.1006,0.047
0.0519,0.6924,0.0865,0.0086,0.0543
-0.1229,0.4325,-0.1376,0.074,0.1366
-0.2099,0.2588,0.1626,-0.0022,0.465
-0.4128,0.425,0.0585,-0.0798,0.4435
-0.3366,0.0728,0.2672,0.0713,1.0325
-0.6275,0.081,0.1297,-0.0234,0.2353
-0.4745,0.014,-0.1279,0.1334,0.2713
-0.5834,0.0224,0.3181,0.1349,0.5962
-0.5333,-0.0087,0.4333,-0.1001,0.2751
-0.3273,0.0191,0.3395,0.0031,-0.0142
-0.7354,0.2326,0.3967,-0.1545,0.0195
-0.5535,0.0888,0.1993,-0.2104,0.0609
-0.5676,0.2263,-1.3781,0.0539,0.0531
-1.0378,-0.0327,-0.4392,0.0784,0.51
-0.5917,-0.3802,-0.3898,-0.1749,0.7205
-0.3871,-0.4483,0.0851,-0.1306,0.8353
-0.6511,-0.3312,0.7648,-0.2638,0.6887
-0.3307,-0.305,0.6162,-0.1038,0.1747
0.276,0.0155,0.3262,-0.4246,0.1171
0.2431,-0.0196,0.2343,-0.8319,0.4427
0.21,0.1996,-0.5675,-0.4629,0.0023
0.3559,0.4135,-0.3825,-0.5676,0.3562
0.378,0.1824,-0.7554,-0.5244,0.278
0.3639,0.2481,-0.8198,-0.4983,0.7338
0.0455,0.4442,-0.6833,-0.0983,0.9373
-0.0593,0.1424,-0.3393,-0.1842,0.6535
-0.1742,0.1488,0.083,-0.547,0.8357
-0.1283,0.1561,-0.4592,-0.3412,0.805
0.0999,0.2383,-0.2061,-0.4897,0.6612
-0.1428,0.3503,-0.3167,-0.4331,0.4455
-0.2522,0.3966,0.2307,-0.4632,0.6036
-0.2453,0.2813,0.1279,0.0183,0.2846
-0.1913,0.2264,0.0138,0.5072,0.4424
-0.0129,0.0637,0.3098,-0.3244,1.2058
0.1277,0.3004,-0.1366,-0.3328,0.8278
-0.1668,0.4045,-0.2955,0.0002,0.9672
-0.0772,0.1334,-0.1138,-0.1798,1.9026
-0.0184,0.158,0.1659,0.0759,1.4617
-0.1516,0.1814,0.4527,-0.3494,1.163
-0.1658,0.3057,1.0913,0.0084,0.8362
-0.1265,0.0948,0.8674,0.0006,-0.0121
-0.1906,-0.6155,0.5484,0.683,0.1272
-0.6513,-0.397,0.8055,0.2758,0.168
-0.5154,-0.3032,1.2873,0.0955,0.179
0.5492,-0.1783,0.6727,-0.303,-0.0196
0.3551,0.023,0.1953,-0.4872,0.3619
0.2014,0.0536,0.191,-0.2658,0.5398
-0.0075,0.0776,0.3105,0.1083,0.8007
0.2523,0.3653,-0.2669,0.2157,0.1417
0.0735,0.2469,0.1902,-0.1664,0.8223
0.5652,0.0692,-0.1938,-0.0949,0.9235
0.4552,-0.3846,-0.5945,-0.3875,1.1088
0.6286,-0.1052,-0.6355,-0.2489,1.365
0.6712,-0.009,-0.4067,-0.5056,1.2301
0.4497,0.0927,-0.6822,-0.6079,1.2534
0.4944,-0.0034,-0.5621,-0.3941,1.1944
-0.0153,-0.1578,-0.2192,0.0736,1.1934
-0.1437,-0.0778,-0.5509,0.1457,0.6665
0.0656,-0.2679,-0.0985,-0.3768,0.5891
-0.1134,-0.2391,-0.2468,-0.2984,0.7168
-0.0759,-0.409,-0.2444,-0.0477,0.8644
0.011,-0.2898,-0.6234,-0.236,0.8347
-0.0371,-0.0318,-0.4298,-0.2432,0.924
0.4162,0.0069,-0.6697,-0.5215,1.0663
0.8723,-0.0414,-0.8899,-0.5798,1.0306
0.3008,0.0454,-0.7994,-0.5456,1.0025
0.0233,0.1029,-0.5588,-0.5015,1.2458
0.094,-0.0334,-0.5112,-0.102,0.6585
-0.2126,-0.2559,-0.4151,-0.1068,0.8369
0.1724,-0.2908,-0.6109,-0.4317,0.8607
-0.0779,-0.1075,-0.6668,-0.0341,0.9123
-0.1183,-0.3899,-0.6062,0.0884,1.1409
0.1502,-0.4569,-0.4084,0.2038,1.33
0.0695,-0.6365,0.0305,0.0799,1.3637
0.135,-0.5404,0.1144,0.1144,1.143
0.2417,-0.5444,0.5217,0.8255,0.9927
0.2922,-0.5304,0.5723,0.1848,0.5952
0.0066,-0.4701,0.6305,0.0605,1.5524
-0.0212,-0.3322,0.3777,0.1502,1.005
-0.2029,-0.3771,0.3541,0.1094,0.8774
-0.3731,-0.2981,0.5043,-0.2006,1.101
0.2309,-0.0644,0.11,-0.1151,0.8881
0.1035,-0.1094,-0.144,-0.2768,0.9138
-0.1491,-0.1284,0.0574,-0.1314,1.1177
-0.7979,0.0216,0.3576,0.3582,1.641
-0.7521,-0.1652,0.5701,0.0687,1.2714
-0.5865,-0.1568,0.4892,0.4139,0.9799
-0.3387,-0.6398,0.3069,0.2657,0.9409
0.23,-0.5403,-0.0045,0.0082,0.8637
-0.2683,-0.3272,0.7184,0.2021,0.8975
0.1636,-0.1836,0.0135,-0.1791,1.1828
0.1694,-0.2474,-0.2364,-0.0609,1.2896
-0.0831,-0.0608,-0.1818,0.1769,1.6051
0.0514,0.0109,-0.4601,0.4483,1.4776
-0.0547,0.0216,-0.3495,0.3058,1.3216
0.3488,-0.2023,-0.3443,0.0271,1.343
-0.1142,-0.0199,-0.2658,0.2552,1.155
-0.3969,-0.0477,-0.3215,0.2745,1.3712
-0.1636,-0.2222,-0.3831,-0.0132,1.4076
-0.398,-0.0571,-0.2847,0.4121,1.3157
-0.1731,-0.2637,-0.0465,0.5712,1.2922
-0.3735,-0.4147,0.2004,0.2066,0.7257
-0.2345,-0.4263,-0.2007,-0.0581,0.8797
-0.4248,-0.233,-0.0989,-0.0483,1.4027
-0.4654,-0.2053,0.137,0.3718,1.1755
