file_id,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
random-rels_20_1A,893,0.037,0.022,19.172,601,0.092,0.082,24.637,53.602
random-rels_20_1B,893,0.044,0.013,19.214,607,0.097,0.076,24.92,45.7154
random-rels_20_1C,842,0.033,0.012,19.255,606,0.083,0.071,24.779,52.1474
random-rels_20_1D,918,0.055,0.028,19.071,600,0.1,0.088,24.658,43.4143
random-rels_20_1E,857,0.034,0.025,19.102,600,0.089,0.083,24.576,50.2118
random-rels_20_1_3,1274,0.022,0.015,18.985,599,0.12,0.099,24.759,52.9954
random-rels_40_1_3,1499,0.028,0.014,18.655,590,0.178,0.14,24.819,66.0098
random-rels_40_1,968,0.065,0.024,19.028,587,0.148,0.13,24.474,45.2231
manyinputs,855,0.027,0.021,19.434,613,0.05,0.044,24.839,37.1598
Overall Average,999.8889 ± 229.4452,0.0383 ± 0.0140,0.0193 ± 0.0059,19.1018 ± 0.2154,600.3333 ± 8.0932,0.1063 ± 0.0378,0.0903 ± 0.0295,24.7179 ± 0.1418,49.6088
