file_id,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
random-rels_20_1A,774,0.02,0.013,19.17,605,0.08,0.071,24.718,363.0356
random-rels_20_1B,766,0.023,0.008,19.189,604,0.077,0.071,24.658,316.8801
random-rels_20_1C,744,0.024,0.008,19.245,606,0.077,0.068,24.739,350.3183
random-rels_20_1D,752,0.034,0.013,19.069,604,0.071,0.068,24.617,300.6043
random-rels_20_1E,727,0.019,0.014,19.102,606,0.071,0.065,24.698,333.6809
random-rels_20_1_3,858,0.007,0.002,18.966,609,0.08,0.065,24.88,345.0387
random-rels_40_1_3,1098,0.023,0.011,18.628,594,0.151,0.121,24.779,497.1291
random-rels_40_1,843,0.047,0.014,19.016,588,0.134,0.122,24.413,311.2454
manyinputs,695,0.011,0.009,19.428,617,0.031,0.028,24.88,255.7754
Overall Average,806.3333 ± 121.0795,0.0231 ± 0.0118,0.0102 ± 0.0039,19.0903 ± 0.2206,603.6667 ± 8.3516,0.0858 ± 0.0358,0.0754 ± 0.0293,24.7091 ± 0.1428,341.5231
