file_id,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
random-rels_20_1A,201,0.189,0.173,5.33,186,0.202,0.184,13.784,75.7595
random-rels_20_1B,180,0.236,0.182,5.969,169,0.249,0.191,13.454,75.012
random-rels_20_1C,164,0.243,0.204,5.519,153,0.256,0.215,12.689,74.7043
random-rels_20_1D,211,0.182,0.166,5.657,185,0.203,0.185,13.748,74.9427
random-rels_20_1E,145,0.243,0.233,5.336,140,0.25,0.239,11.916,73.4664
random-rels_20_1_3,194,0.192,0.192,5.844,166,0.231,0.202,13.115,73.7365
random-rels_40_1_3,416,0.188,0.168,6.925,294,0.274,0.21,17.833,73.5684
random-rels_40_1,191,0.294,0.279,6.258,173,0.316,0.3,13.304,57.5886
manyinputs,86,0.122,0.122,5.445,85,0.124,0.124,9.22,73.2061
Overall Average,198.6667 ± 89.8582,0.2099 ± 0.0496,0.1910 ± 0.0447,5.8092 ± 0.5204,172.3333 ± 55.0545,0.2339 ± 0.0541,0.2056 ± 0.0473,13.2292 ± 2.2341,72.4427
