file_id,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
random-rels_20_1A,28,0.576,0.576,5.292,28,0.576,0.576,5.292,97.5853
random-rels_20_1B,32,0.515,0.515,5.657,32,0.515,0.515,5.657,96.2489
random-rels_20_1C,37,0.431,0.431,6.083,37,0.431,0.431,6.083,98.5231
random-rels_20_1D,40,0.444,0.444,6.325,40,0.444,0.444,6.325,99.3663
random-rels_20_1E,32,0.467,0.467,5.657,32,0.467,0.467,5.657,96.558
random-rels_20_1_3,39,0.435,0.435,6.245,39,0.435,0.435,6.245,95.2682
random-rels_40_1_3,52,0.5,0.5,7.211,52,0.5,0.5,7.211,96.6091
random-rels_40_1,48,0.52,0.52,6.928,48,0.52,0.52,6.928,72.6719
manyinputs,32,0.158,0.158,5.657,32,0.158,0.158,5.657,91.6236
Overall Average,37.7778 ± 7.9809,0.4496 ± 0.1192,0.4496 ± 0.1192,6.1172 ± 0.6355,37.7778 ± 7.9809,0.4496 ± 0.1192,0.4496 ± 0.1192,6.1172 ± 0.6355,93.8283
