file_id,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
random-rels_20_1A,475,0.115,0.092,5.859,371,0.143,0.115,19.57,15.7762
random-rels_20_1B,487,0.123,0.09,6.4,387,0.152,0.106,20.174,15.655
random-rels_20_1C,408,0.119,0.097,6.001,334,0.143,0.116,18.547,15.5687
random-rels_20_1D,464,0.11,0.087,6.024,370,0.135,0.106,19.545,15.5081
random-rels_20_1E,427,0.11,0.097,5.793,344,0.134,0.113,18.762,15.4747
random-rels_20_1_3,577,0.086,0.08,6.248,400,0.135,0.103,20.347,15.2147
random-rels_40_1_3,886,0.105,0.092,7.217,472,0.204,0.154,22.361,15.23
random-rels_40_1,535,0.165,0.136,6.921,427,0.202,0.154,21.237,11.7911
manyinputs,300,0.057,0.051,5.788,275,0.062,0.055,16.643,15.0973
Overall Average,506.5556 ± 162.6523,0.1100 ± 0.0290,0.0913 ± 0.0219,6.2501 ± 0.5119,375.5556 ± 56.5268,0.1456 ± 0.0418,0.1136 ± 0.0294,19.6873 ± 1.6462,15.0351
