dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
1,14,0.462,0.462,2.639,5,0.8,0.8,2.236,0.2476
2,51,0.354,0.354,3.979,28,0.6,0.6,5.292,1.0839
3,108,0.26,0.26,5.458,64,0.508,0.508,8.0,2.1343
5,31,0.34,0.34,2.616,15,0.571,0.571,3.873,0.4931
6,61,0.371,0.371,3.83,39,0.519,0.519,6.245,1.9913
7,32,0.333,0.333,2.631,15,0.571,0.571,3.873,1.9438
8,29,0.256,0.256,3.453,15,0.571,0.571,3.873,0.269
9,31,0.392,0.392,3.201,15,0.571,0.571,3.873,3.4738
10,23,0.343,0.343,2.731,11,0.645,0.645,3.317,0.247
11,77,0.267,0.267,4.436,51,0.452,0.452,7.141,0.8847
12,47,0.356,0.356,3.975,25,0.615,0.615,5.0,0.8958
13,17,0.37,0.37,3.218,12,0.692,0.538,4.0,0.2411
14,21,0.323,0.323,2.831,11,0.645,0.645,3.317,0.2417
15,29,0.293,0.293,3.42,15,0.571,0.571,3.873,0.2664
16,26,0.278,0.278,3.259,9,0.727,0.727,3.0,0.274
17,45,0.384,0.384,4.018,25,0.627,0.627,5.0,0.9973
18,15,0.4,0.4,2.765,5,0.8,0.8,2.236,0.2256
19,17,0.452,0.452,2.26,10,0.615,0.615,3.162,1.0049
20,16,0.5,0.5,2.242,10,0.615,0.615,3.162,1.0263
21,14,0.462,0.462,2.639,5,0.8,0.8,2.236,0.2244
22,21,0.387,0.323,2.695,13,0.621,0.552,3.873,0.2271
23,27,0.341,0.341,4.292,15,0.571,0.571,3.873,0.2821
24,36,0.217,0.217,5.073,17,0.485,0.485,4.123,0.2779
25,16,0.385,0.385,2.766,8,0.667,0.667,2.828,0.209
26,10,0.444,0.444,2.845,7,0.588,0.588,2.646,0.1917
27,10,0.636,0.545,2.704,7,0.762,0.667,3.0,0.2218
28,14,0.462,0.462,2.702,7,0.72,0.72,2.646,0.2141
Overall Average,31.0370 ± 22.3460,0.3729 ± 0.0893,0.3671 ± 0.0806,3.2844 ± 0.8373,17.0000 ± 14.1557,0.6270 ± 0.0943,0.6152 ± 0.0920,3.9147 ± 1.4307,0.7330
