dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
1,13,0.435,0.435,2.679,5,0.783,0.783,2.236,1.8631
2,40,0.394,0.394,3.978,21,0.667,0.667,4.583,7.4361
3,81,0.257,0.257,5.523,44,0.585,0.585,6.633,16.734
5,27,0.341,0.341,2.636,15,0.571,0.571,3.873,3.7564
6,58,0.383,0.383,3.828,39,0.519,0.519,6.245,14.5527
7,24,0.4,0.4,2.63,13,0.606,0.606,3.606,12.796
8,29,0.216,0.216,3.496,16,0.529,0.529,4.0,2.103
9,31,0.367,0.367,3.212,15,0.571,0.571,3.873,24.9416
10,15,0.4,0.4,2.743,5,0.8,0.8,2.236,1.8312
11,61,0.299,0.299,4.416,41,0.506,0.506,6.403,7.1136
12,34,0.433,0.433,3.93,17,0.702,0.702,4.123,6.9683
13,13,0.435,0.435,3.202,9,0.609,0.609,3.0,1.8797
14,19,0.345,0.345,2.822,9,0.69,0.69,3.0,1.8616
15,26,0.316,0.316,3.406,15,0.571,0.571,3.873,2.07
16,22,0.312,0.312,3.241,9,0.71,0.71,3.0,1.9707
17,41,0.369,0.369,4.078,19,0.689,0.689,4.359,8.0307
18,15,0.4,0.4,2.765,5,0.8,0.8,2.236,1.7138
19,4,0.75,0.75,2.273,4,0.75,0.75,2.0,7.3081
20,6,0.667,0.667,2.275,6,0.667,0.667,2.449,7.2325
21,13,0.435,0.435,2.679,5,0.783,0.783,2.236,1.7462
22,15,0.4,0.4,2.6,9,0.64,0.64,3.0,1.7332
23,27,0.308,0.308,4.323,15,0.571,0.571,3.873,1.9883
24,32,0.2,0.2,5.056,17,0.485,0.485,4.123,1.9975
25,13,0.381,0.381,2.818,8,0.6,0.6,2.828,1.6002
26,8,0.333,0.333,2.923,8,0.333,0.333,2.828,1.4087
27,7,0.588,0.588,2.603,5,0.706,0.706,2.236,1.5215
28,13,0.435,0.435,2.759,7,0.696,0.696,2.646,1.6269
Overall Average,25.4444 ± 18.2595,0.3926 ± 0.1201,0.3926 ± 0.1201,3.2924 ± 0.8404,14.1111 ± 10.9977,0.6348 ± 0.1101,0.6348 ± 0.1101,3.5370 ± 1.2893,5.3995
