dataset,SHD,F1,F1_directed,Frobenius,runtime
1,6,0.625,0.625,2.55,0.2672
2,15,0.545,0.545,3.914,1.1039
3,28,0.417,0.417,5.192,2.1243
5,8,0.556,0.556,2.582,0.5586
6,20,0.524,0.524,3.811,2.1358
7,12,0.538,0.538,2.544,3.4675
8,9,0.526,0.526,2.737,0.1858
9,19,0.514,0.457,2.789,3.5355
10,7,0.588,0.588,2.546,0.1844
11,21,0.462,0.462,3.999,0.7909
12,17,0.541,0.541,3.854,0.7893
13,8,0.556,0.556,3.142,0.1806
14,8,0.556,0.556,2.659,0.1865
15,14,0.364,0.364,3.104,0.2061
16,10,0.444,0.444,3.135,0.1864
17,17,0.541,0.541,3.648,0.7847
18,6,0.625,0.625,2.62,0.1843
19,5,0.667,0.667,2.281,1.4233
20,6,0.625,0.625,2.278,1.4325
21,6,0.625,0.625,2.55,0.1865
22,7,0.588,0.588,2.51,0.2065
23,13,0.381,0.381,3.122,0.2074
24,14,0.222,0.222,3.709,0.1851
25,7,0.533,0.533,2.679,0.1601
26,10,0.0,0.0,3.162,0.1498
27,6,0.571,0.571,2.545,0.1531
28,7,0.588,0.588,2.421,0.1782
average,11.3333 ± 5.8835,0.5082 ± 0.1396,0.5061 ± 0.1400,3.0401 ± 0.6874,0.7835
