dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
1,12,0.333,0.333,3.464,8,0.556,0.556,2.828,6.4057
2,32,0.2,0.2,5.657,20,0.5,0.5,4.472,13.1972
3,52,0.212,0.212,7.211,32,0.515,0.515,5.657,19.5808
5,14,0.364,0.364,3.742,8,0.636,0.636,2.828,6.5817
6,22,0.45,0.45,4.69,14,0.65,0.65,3.742,15.2383
7,13,0.381,0.381,3.606,7,0.667,0.667,2.646,9.6624
8,15,0.211,0.211,3.873,7,0.632,0.632,2.646,6.0521
9,10,0.375,0.375,3.162,8,0.5,0.5,2.828,9.3078
10,12,0.4,0.4,3.464,6,0.7,0.7,2.449,5.8799
11,28,0.364,0.364,5.292,24,0.455,0.455,4.899,12.9408
12,23,0.303,0.303,4.796,17,0.485,0.485,4.123,13.3057
13,13,0.381,0.381,3.606,9,0.571,0.571,3.0,6.166
14,13,0.316,0.316,3.606,9,0.526,0.526,3.0,6.0323
15,15,0.286,0.286,3.873,7,0.667,0.667,2.646,6.1234
16,18,0.182,0.182,4.243,10,0.545,0.545,3.162,6.0726
17,21,0.432,0.432,4.583,11,0.703,0.703,3.317,12.9006
18,14,0.3,0.3,3.742,10,0.5,0.5,3.162,5.9083
19,5,0.667,0.667,2.236,5,0.667,0.667,2.236,6.9455
20,5,0.667,0.667,2.236,5,0.667,0.667,2.236,6.9539
21,12,0.333,0.333,3.464,8,0.556,0.556,2.828,5.8889
22,8,0.556,0.556,2.828,6,0.667,0.667,2.449,5.9883
23,16,0.2,0.2,4.0,10,0.5,0.5,3.162,5.8823
24,18,0.1,0.1,4.243,10,0.5,0.5,3.162,5.9407
25,11,0.353,0.353,3.317,7,0.588,0.588,2.646,5.8946
26,11,0.353,0.353,3.317,9,0.471,0.471,3.0,5.8116
27,10,0.444,0.444,3.162,8,0.556,0.556,2.828,5.8349
28,10,0.375,0.375,3.162,8,0.5,0.5,2.828,5.7977
Overall Average,16.0370 ± 9.5333,0.3533 ± 0.1329,0.3533 ± 0.1329,3.8731 ± 1.0375,10.4815 ± 6.1542,0.5733 ± 0.0790,0.5733 ± 0.0790,3.1400 ± 0.8032,8.2331
