dataset,SHD,F1,F1_directed,Frobenius,runtime
1,11,0.476,0.476,2.614,0.0703
2,21,0.578,0.533,3.938,0.224
3,48,0.333,0.333,5.272,0.47
5,12,0.5,0.5,2.565,0.1305
6,27,0.491,0.491,3.801,0.4518
7,12,0.571,0.571,2.529,0.8598
8,13,0.522,0.435,2.843,0.0389
9,25,0.465,0.419,2.819,0.8853
10,11,0.476,0.476,2.632,0.0386
11,29,0.471,0.431,4.043,0.1605
12,24,0.522,0.478,3.922,0.1582
13,14,0.417,0.417,3.2,0.0371
14,10,0.5,0.5,2.682,0.0372
15,14,0.462,0.462,3.026,0.0375
16,16,0.462,0.385,3.243,0.0377
17,30,0.4,0.4,3.796,0.1605
18,10,0.5,0.5,2.678,0.0377
19,11,0.56,0.56,2.242,0.29
20,13,0.519,0.519,2.242,0.2893
21,11,0.476,0.476,2.614,0.0393
22,13,0.609,0.435,2.971,0.0375
23,12,0.538,0.538,3.043,0.0375
24,19,0.32,0.24,4.053,0.0382
25,11,0.421,0.421,2.719,0.0319
26,7,0.533,0.533,2.824,0.0287
27,8,0.5,0.5,2.634,0.0293
28,12,0.455,0.455,2.518,0.032
average,16.4444 ± 9.0398,0.4843 ± 0.0668,0.4624 ± 0.0712,3.0912 ± 0.7064,0.1737
