dataset,SHD,F1,F1_directed,Frobenius,runtime
1,13,0.435,0.435,2.616,1.1228
2,26,0.48,0.48,3.966,5.9301
3,95,0.244,0.228,5.446,26.7086
5,14,0.5,0.5,2.57,2.8097
6,27,0.528,0.491,3.814,11.8799
7,13,0.48,0.48,2.572,17.3159
8,17,0.414,0.414,2.816,1.0052
9,21,0.4,0.4,2.738,17.3798
10,15,0.48,0.4,2.826,1.0001
11,36,0.4,0.4,4.088,5.9154
12,40,0.333,0.333,4.129,5.8874
13,13,0.435,0.435,3.22,1.0119
14,11,0.476,0.476,2.801,1.0068
15,21,0.516,0.323,2.902,1.0715
16,14,0.462,0.462,3.032,1.0673
17,41,0.426,0.328,3.765,6.1487
18,13,0.435,0.435,2.8,1.0406
19,12,0.5,0.5,2.235,6.2411
20,12,0.545,0.455,2.3,6.2529
21,11,0.476,0.476,2.611,1.0231
22,15,0.4,0.4,2.408,1.0398
23,20,0.4,0.333,2.869,1.063
24,18,0.462,0.308,3.191,1.0694
25,20,0.286,0.286,2.793,0.9255
26,17,0.414,0.414,2.915,0.8989
27,17,0.483,0.414,2.81,0.9
28,14,0.417,0.417,2.573,0.9477
average,21.7037 ± 16.8770,0.4380 ± 0.0691,0.4083 ± 0.0716,3.0669 ± 0.7122,4.7653
