dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,24,0.7,0.6,1.266,16,0.913,0.652,5.292,0.7954
dataset_1,26,0.607,0.536,1.235,12,0.913,0.739,4.472,1.0671
dataset_2,24,0.643,0.571,1.246,14,0.913,0.696,4.899,0.9496
dataset_3,29,0.623,0.525,1.265,13,0.936,0.723,4.796,0.8982
dataset_4,27,0.689,0.557,1.259,13,0.936,0.723,4.796,0.8077
dataset_5,26,0.621,0.552,1.284,14,0.913,0.696,4.899,0.8315
dataset_6,25,0.596,0.561,1.265,16,0.913,0.652,5.292,0.8518
dataset_7,27,0.561,0.526,1.232,15,0.889,0.667,5.0,0.8161
dataset_8,29,0.623,0.525,1.344,17,0.936,0.638,5.568,0.817
dataset_9,24,0.69,0.586,1.359,17,0.933,0.622,5.568,1.0086
Overall Average,26.1000 ± 1.9120,0.6353 ± 0.0453,0.5539 ± 0.0264,1.2755 ± 0.0431,14.7000 ± 1.7670,0.9195 ± 0.0154,0.6808 ± 0.0402,5.0582 ± 0.3597,0.8843
