dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,26,0.6,0.48,1.329,19,0.837,0.558,5.568,5.3312
dataset_1,26,0.593,0.519,1.242,12,0.913,0.739,4.472,7.3184
dataset_2,24,0.577,0.538,1.256,15,0.837,0.651,4.796,6.2321
dataset_3,30,0.536,0.464,1.281,17,0.889,0.622,5.385,6.5914
dataset_4,24,0.679,0.571,1.224,13,0.936,0.723,4.796,5.8206
dataset_5,23,0.642,0.566,1.295,12,0.864,0.727,4.243,5.901
dataset_6,26,0.571,0.536,1.278,16,0.913,0.652,5.292,5.9716
dataset_7,26,0.538,0.5,1.242,17,0.837,0.605,5.196,5.8435
dataset_8,25,0.667,0.561,1.329,13,0.936,0.723,4.796,5.5476
dataset_9,22,0.679,0.607,1.329,17,0.933,0.622,5.568,6.79
Overall Average,25.2000 ± 2.2010,0.6082 ± 0.0552,0.5342 ± 0.0443,1.2805 ± 0.0395,15.1000 ± 2.4698,0.8895 ± 0.0425,0.6622 ± 0.0624,5.0112 ± 0.4586,6.1347
