dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,16,0.6,0.6,1.047,12,0.667,0.667,3.464,0.7508
dataset_1,12,0.8,0.76,0.764,7,0.93,0.837,3.317,0.7856
dataset_2,12,0.7,0.7,0.928,11,0.757,0.703,3.606,0.8226
dataset_3,10,0.762,0.762,0.736,9,0.821,0.769,3.317,0.7445
dataset_4,16,0.696,0.652,0.948,10,0.85,0.75,3.742,0.7444
dataset_5,11,0.744,0.744,0.823,9,0.821,0.769,3.317,0.7298
dataset_6,14,0.682,0.682,0.861,9,0.821,0.769,3.317,0.743
dataset_7,11,0.744,0.744,0.783,8,0.789,0.789,2.828,0.7559
dataset_8,12,0.727,0.727,0.854,8,0.789,0.789,2.828,0.7394
dataset_9,10,0.783,0.783,0.777,10,0.905,0.762,4.0,0.7441
Overall Average,12.4000 ± 2.2211,0.7238 ± 0.0577,0.7154 ± 0.0570,0.8521 ± 0.0975,9.3000 ± 1.4944,0.8150 ± 0.0740,0.7604 ± 0.0470,3.3736 ± 0.3649,0.7560
