dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,21,0.323,0.323,1.666,18,0.357,0.357,4.243,6.4962
dataset_1,22,0.312,0.312,1.943,19,0.414,0.345,4.583,6.431
dataset_2,23,0.303,0.303,2.185,20,0.4,0.333,4.69,6.4586
dataset_3,22,0.375,0.312,2.072,19,0.414,0.345,4.583,6.3377
dataset_4,22,0.312,0.312,1.943,19,0.414,0.345,4.583,6.3747
dataset_5,22,0.267,0.267,1.605,19,0.296,0.296,4.359,6.3713
dataset_6,21,0.323,0.323,1.666,18,0.357,0.357,4.243,6.3828
dataset_7,20,0.375,0.375,1.768,17,0.414,0.414,4.123,6.3074
dataset_8,20,0.375,0.375,1.768,17,0.414,0.414,4.123,6.3379
dataset_9,22,0.312,0.312,1.943,19,0.414,0.345,4.583,6.4044
Overall Average,21.5000 ± 0.9718,0.3277 ± 0.0362,0.3214 ± 0.0323,1.8559 ± 0.1910,18.5000 ± 0.9718,0.3894 ± 0.0402,0.3551 ± 0.0355,4.4113 ± 0.2163,6.3902
