dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,9,0.809,0.809,0.711,7,0.884,0.837,3.0,0.1479
dataset_1,13,0.83,0.755,0.769,7,0.978,0.844,3.606,0.1942
dataset_2,8,0.84,0.84,0.829,6,0.905,0.857,2.828,0.1452
dataset_3,7,0.868,0.868,0.621,6,0.909,0.864,2.828,0.1469
dataset_4,14,0.778,0.741,0.89,7,0.933,0.844,3.317,0.1462
dataset_5,10,0.808,0.808,0.728,6,0.909,0.864,2.828,0.1447
dataset_6,14,0.731,0.731,0.772,10,0.864,0.773,3.742,0.1479
dataset_7,11,0.784,0.784,0.721,9,0.884,0.791,3.606,0.1942
dataset_8,12,0.846,0.769,0.734,7,0.933,0.844,3.317,0.1502
dataset_9,10,0.808,0.808,0.736,7,0.933,0.844,3.317,0.1488
Overall Average,10.8000 ± 2.4404,0.8102 ± 0.0393,0.7913 ± 0.0437,0.7511 ± 0.0720,7.2000 ± 1.3166,0.9132 ± 0.0327,0.8362 ± 0.0303,3.2389 ± 0.3503,0.1566
