dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.554,4,0.929,0.929,1.9674
dataset_1,0.976,17,0.792,0.679,1.8887
dataset_2,0.528,5,0.912,0.912,1.8042
dataset_3,0.861,15,0.772,0.737,1.8686
dataset_4,0.548,5,0.909,0.909,1.8102
dataset_5,0.514,7,0.877,0.877,1.8049
dataset_6,0.677,8,0.857,0.857,1.806
dataset_7,0.684,12,0.867,0.8,1.8614
dataset_8,0.656,8,0.893,0.857,1.8101
dataset_9,0.792,8,0.846,0.846,1.7861
Overall Average,0.679 ± 0.155,8.90 ± 4.38,0.865 ± 0.051,0.840 ± 0.080,1.8408 ± 0.0560
