dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,18,0.556,0.5,0.909,12,0.733,0.6,4.0,0.6294
dataset_1,17,0.581,0.452,1.179,12,0.714,0.571,4.0,0.6397
dataset_2,21,0.595,0.432,1.13,12,0.8,0.6,4.243,0.625
dataset_3,16,0.625,0.5,0.959,12,0.714,0.571,4.0,0.7431
dataset_4,19,0.629,0.457,1.151,12,0.733,0.6,4.0,0.6528
dataset_5,15,0.667,0.545,0.971,9,0.741,0.667,3.317,0.7028
dataset_6,24,0.45,0.4,1.078,15,0.667,0.545,4.359,0.5741
dataset_7,21,0.615,0.462,1.23,12,0.75,0.625,4.0,0.6934
dataset_8,17,0.606,0.485,0.926,9,0.815,0.667,3.606,0.7586
dataset_9,18,0.556,0.5,1.055,10,0.733,0.667,3.464,0.7086
Overall Average,18.6000 ± 2.7162,0.5880 ± 0.0592,0.4733 ± 0.0413,1.0588 ± 0.1133,11.5000 ± 1.7795,0.7400 ± 0.0424,0.6113 ± 0.0441,3.8989 ± 0.3325,0.6727
