dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,15,0.606,0.545,0.9,9,0.815,0.667,3.606,4.7784
dataset_1,15,0.621,0.483,1.174,10,0.769,0.615,3.742,5.0629
dataset_2,16,0.563,0.5,1.069,9,0.815,0.667,3.606,4.5492
dataset_3,13,0.621,0.552,0.929,9,0.72,0.64,3.317,5.1626
dataset_4,16,0.6,0.467,1.137,10,0.692,0.615,3.464,4.9012
dataset_5,15,0.645,0.516,0.985,9,0.741,0.667,3.317,5.6199
dataset_6,19,0.485,0.424,1.065,12,0.714,0.571,4.0,4.8139
dataset_7,17,0.606,0.485,1.198,12,0.733,0.6,4.0,5.4487
dataset_8,14,0.571,0.5,0.892,9,0.72,0.64,3.317,5.1613
dataset_9,14,0.625,0.563,1.046,8,0.786,0.714,3.162,5.0932
Overall Average,15.4000 ± 1.7127,0.5943 ± 0.0456,0.5035 ± 0.0424,1.0395 ± 0.1109,9.7000 ± 1.3375,0.7505 ± 0.0434,0.6396 ± 0.0412,3.5531 ± 0.2923,5.0591
