dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.8,0.8,0.67,2,0.917,0.917,1.414,0.698
dataset_1,7,0.696,0.696,0.756,6,0.727,0.727,2.449,0.7146
dataset_2,8,0.714,0.714,0.692,4,0.846,0.846,2.0,0.7513
dataset_3,7,0.72,0.72,0.72,4,0.833,0.833,2.0,0.6979
dataset_4,5,0.783,0.783,0.655,4,0.818,0.818,2.0,0.6955
dataset_5,4,0.846,0.846,0.63,2,0.917,0.917,1.414,0.6942
dataset_6,7,0.72,0.72,0.632,6,0.833,0.75,2.828,0.6954
dataset_7,5,0.8,0.8,0.535,4,0.833,0.833,2.0,0.695
dataset_8,7,0.667,0.667,0.771,6,0.7,0.7,2.449,0.6946
dataset_9,4,0.846,0.846,0.447,3,0.88,0.88,1.732,0.7039
Overall Average,5.9000 ± 1.4491,0.7592 ± 0.0637,0.7592 ± 0.0637,0.6508 ± 0.0989,4.1000 ± 1.5239,0.8304 ± 0.0712,0.8221 ± 0.0755,2.0286 ± 0.4521,0.7040
