dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,10,0.6,0.5,1.86,9,0.632,0.526,3.317,6.3325
dataset_1,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.1779
dataset_2,11,0.421,0.421,1.754,10,0.444,0.444,3.162,6.2994
dataset_3,11,0.571,0.476,2.133,10,0.6,0.5,3.464,6.3193
dataset_4,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.534
dataset_5,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4846
dataset_6,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4695
dataset_7,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3188
dataset_8,10,0.6,0.5,1.884,9,0.632,0.526,3.317,6.6617
dataset_9,11,0.571,0.476,2.133,10,0.6,0.5,3.464,6.5434
Overall Average,9.8000 ± 0.9189,0.5393 ± 0.0519,0.5003 ± 0.0346,1.6539 ± 0.3352,8.8000 ± 0.9189,0.5688 ± 0.0541,0.5276 ± 0.0373,3.0864 ± 0.2850,6.4141
