dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,10,0.667,0.667,0.681,7,0.759,0.759,2.646,0.1416
dataset_1,10,0.688,0.688,0.692,7,0.759,0.759,2.646,0.143
dataset_2,12,0.647,0.647,0.717,9,0.828,0.69,3.606,0.1426
dataset_3,7,0.72,0.72,0.72,4,0.833,0.833,2.0,0.1371
dataset_4,15,0.545,0.545,0.754,8,0.8,0.733,3.162,0.1374
dataset_5,6,0.786,0.786,0.633,2,0.923,0.923,1.414,0.1442
dataset_6,10,0.722,0.722,0.517,9,0.788,0.727,3.317,0.1443
dataset_7,9,0.743,0.743,0.503,8,0.813,0.75,3.162,0.1437
dataset_8,13,0.645,0.581,0.917,8,0.857,0.714,3.464,0.1542
dataset_9,3,0.903,0.903,0.47,3,0.897,0.897,1.732,0.1432
Overall Average,9.5000 ± 3.5040,0.7066 ± 0.0954,0.7002 ± 0.1020,0.6604 ± 0.1355,6.5000 ± 2.5495,0.8257 ± 0.0545,0.7785 ± 0.0790,2.7149 ± 0.7671,0.1431
