dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.933,10,0.733,0.667,1.8986
dataset_1,0.683,13,0.552,0.552,1.9307
dataset_2,0.641,8,0.667,0.667,1.8915
dataset_3,0.63,10,0.643,0.643,1.823
dataset_4,0.403,4,0.846,0.846,1.7905
dataset_5,0.572,10,0.615,0.615,1.8404
dataset_6,0.62,11,0.593,0.593,1.8009
dataset_7,0.813,12,0.667,0.6,1.8493
dataset_8,0.623,9,0.667,0.667,1.7964
dataset_9,0.565,5,0.783,0.783,1.7933
Overall Average,0.648 ± 0.143,9.20 ± 2.86,0.677 ± 0.089,0.663 ± 0.089,1.8415 ± 0.0503
