dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.684,27,0.229,0.64,0.8084
dataset_1,0.82,26,0.133,0.653,0.4621
dataset_2,0.849,22,0.357,0.733,0.4968
dataset_3,0.814,29,0.242,0.64,0.737
dataset_4,0.698,22,0.214,0.707,0.5929
dataset_5,0.753,19,0.32,0.76,0.6893
dataset_6,0.738,27,0.242,0.653,0.9731
dataset_7,0.816,30,0.333,0.64,1.0851
dataset_8,0.707,24,0.353,0.693,1.0442
dataset_9,0.681,22,0.357,0.733,0.6888
Overall Average,0.756 ± 0.064,24.80 ± 3.55,0.278 ± 0.077,0.685 ± 0.046,0.7578 ± 0.2188
