dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,16,0.563,0.5,1.063,10,0.714,0.643,3.464,0.8582
dataset_1,22,0.55,0.45,1.079,13,0.727,0.606,4.123,0.666
dataset_2,26,0.5,0.409,1.2,14,0.647,0.588,4.0,0.7338
dataset_3,19,0.571,0.457,1.146,14,0.667,0.533,4.243,0.8088
dataset_4,20,0.647,0.412,1.051,12,0.786,0.571,4.243,0.8643
dataset_5,18,0.588,0.471,0.96,11,0.759,0.621,3.873,0.6981
dataset_6,19,0.571,0.457,1.051,11,0.759,0.621,3.873,0.7359
dataset_7,19,0.571,0.457,0.95,10,0.714,0.643,3.464,0.8893
dataset_8,18,0.647,0.471,1.023,11,0.759,0.621,3.873,0.7475
dataset_9,19,0.541,0.486,1.093,10,0.75,0.688,3.464,0.7575
Overall Average,19.6000 ± 2.7162,0.5749 ± 0.0449,0.4570 ± 0.0288,1.0616 ± 0.0761,11.6000 ± 1.5776,0.7282 ± 0.0440,0.6135 ± 0.0428,3.8620 ± 0.3079,0.7759
