dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,14,0.571,0.5,1.057,9,0.72,0.64,3.317,6.4917
dataset_1,16,0.563,0.5,1.022,10,0.714,0.643,3.464,5.0193
dataset_2,22,0.5,0.45,1.191,12,0.688,0.625,3.742,5.3954
dataset_3,15,0.552,0.483,1.127,10,0.692,0.615,3.464,5.7604
dataset_4,15,0.552,0.483,0.967,10,0.769,0.615,3.742,6.0792
dataset_5,16,0.5,0.429,0.941,12,0.615,0.538,3.742,5.3115
dataset_6,16,0.563,0.5,1.021,9,0.815,0.667,3.606,5.1975
dataset_7,15,0.645,0.516,0.94,8,0.769,0.692,3.162,6.0961
dataset_8,17,0.606,0.485,0.997,11,0.759,0.621,3.873,5.3414
dataset_9,16,0.533,0.467,1.081,11,0.667,0.593,3.606,5.486
Overall Average,16.2000 ± 2.2010,0.5585 ± 0.0441,0.4813 ± 0.0262,1.0344 ± 0.0814,10.2000 ± 1.3166,0.7208 ± 0.0587,0.6249 ± 0.0416,3.5718 ± 0.2201,5.6178
