dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,2,0.923,0.923,0.423,2,0.917,0.917,1.414,0.7344
dataset_1,5,0.8,0.8,0.573,4,0.833,0.833,2.0,0.8419
dataset_2,4,0.857,0.857,0.639,4,0.846,0.846,2.0,0.7739
dataset_3,7,0.741,0.741,0.612,3,0.88,0.88,1.732,0.7595
dataset_4,3,0.889,0.889,0.581,3,0.88,0.88,1.732,0.7789
dataset_5,6,0.727,0.727,0.657,5,0.762,0.762,2.236,0.7635
dataset_6,3,0.889,0.889,0.444,3,0.88,0.88,1.732,0.7796
dataset_7,5,0.815,0.815,0.558,5,0.8,0.8,2.236,0.8525
dataset_8,8,0.692,0.692,0.707,6,0.75,0.75,2.449,0.7878
dataset_9,3,0.88,0.88,0.415,2,0.917,0.917,1.414,0.801
Overall Average,4.6000 ± 1.9551,0.8213 ± 0.0794,0.8213 ± 0.0794,0.5609 ± 0.1021,3.7000 ± 1.3375,0.8465 ± 0.0597,0.8465 ± 0.0597,1.8945 ± 0.3502,0.7873
