dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,10,0.444,0.444,1.441,9,0.471,0.471,3.0,6.686
dataset_1,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.329
dataset_2,10,0.5,0.5,1.684,9,0.632,0.526,3.317,6.3452
dataset_3,10,0.444,0.444,1.322,9,0.471,0.471,3.0,6.3322
dataset_4,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3419
dataset_5,10,0.444,0.444,1.225,9,0.471,0.471,3.0,6.3312
dataset_6,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3213
dataset_7,10,0.444,0.444,1.401,9,0.471,0.471,3.0,6.3313
dataset_8,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3893
dataset_9,10,0.5,0.5,1.684,9,0.526,0.526,3.0,6.3398
Overall Average,9.6000 ± 0.5164,0.4880 ± 0.0392,0.4880 ± 0.0392,1.4177 ± 0.1508,8.6000 ± 0.5164,0.5266 ± 0.0547,0.5160 ± 0.0404,2.9629 ± 0.1509,6.3747
