dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,4,0.867,0.867,0.437,4,0.857,0.857,2.0,0.1523
dataset_1,8,0.765,0.765,0.553,8,0.813,0.75,3.162,0.1477
dataset_2,8,0.75,0.75,0.652,5,0.828,0.828,2.236,0.1423
dataset_3,10,0.688,0.688,0.587,7,0.828,0.759,3.0,0.1461
dataset_4,5,0.839,0.839,0.511,5,0.828,0.828,2.236,0.1469
dataset_5,9,0.69,0.69,0.662,10,0.786,0.643,3.742,0.1703
dataset_6,5,0.839,0.839,0.457,3,0.897,0.897,1.732,0.1417
dataset_7,6,0.8,0.8,0.583,5,0.889,0.815,2.646,0.1833
dataset_8,7,0.774,0.774,0.487,5,0.828,0.828,2.236,0.1406
dataset_9,3,0.903,0.903,0.46,3,0.897,0.897,1.732,0.1418
Overall Average,6.5000 ± 2.2730,0.7915 ± 0.0719,0.7915 ± 0.0719,0.5389 ± 0.0811,5.5000 ± 2.2236,0.8451 ± 0.0382,0.8102 ± 0.0763,2.4722 ± 0.6569,0.1513
