dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.616,11,0.645,0.853,0.8596
dataset_1,0.857,14,0.3,0.813,0.9718
dataset_2,0.873,16,0.111,0.787,0.8531
dataset_3,0.808,18,0.273,0.773,0.9849
dataset_4,0.69,16,0.273,0.787,0.9783
dataset_5,0.832,17,0.19,0.773,0.9976
dataset_6,0.77,19,0.4,0.773,1.0034
dataset_7,0.733,18,0.385,0.773,0.9997
dataset_8,0.758,22,0.214,0.707,0.8662
dataset_9,0.669,17,0.261,0.773,0.979
Overall Average,0.761 ± 0.085,16.80 ± 2.94,0.305 ± 0.147,0.781 ± 0.037,0.9494 ± 0.0628
