dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.577,12,0.667,0.84,0.1464
dataset_1,0.796,15,0.348,0.8,0.1685
dataset_2,0.861,17,0.19,0.773,0.1385
dataset_3,0.878,24,0.357,0.72,0.1436
dataset_4,0.755,20,0.231,0.733,0.1375
dataset_5,0.78,18,0.333,0.773,0.1367
dataset_6,0.791,22,0.467,0.747,0.137
dataset_7,0.813,27,0.378,0.667,0.14
dataset_8,0.764,26,0.278,0.653,0.1383
dataset_9,0.677,19,0.24,0.747,0.1383
Overall Average,0.769 ± 0.088,20.00 ± 4.81,0.349 ± 0.138,0.745 ± 0.057,0.1425 ± 0.0097
