dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.472,10,0.706,0.867,2.434
dataset_1,0.707,17,0.414,0.773,2.4158
dataset_2,0.869,25,0.424,0.707,2.4275
dataset_3,0.793,27,0.324,0.653,2.4504
dataset_4,0.771,19,0.24,0.747,2.4164
dataset_5,0.763,19,0.24,0.747,2.4505
dataset_6,0.768,23,0.387,0.72,2.4115
dataset_7,0.789,25,0.303,0.68,2.3967
dataset_8,0.698,20,0.333,0.733,2.3447
dataset_9,0.697,21,0.222,0.72,2.3521
Overall Average,0.733 ± 0.105,20.60 ± 4.90,0.359 ± 0.142,0.735 ± 0.058,2.4100 ± 0.0366
