dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,23,0.564,0.41,1.191,14,0.75,0.562,4.472,0.7121
dataset_1,17,0.703,0.541,1.141,10,0.867,0.667,4.0,0.6832
dataset_2,19,0.595,0.486,1.087,9,0.828,0.69,3.606,0.6629
dataset_3,16,0.563,0.5,1.04,12,0.643,0.571,3.742,0.7174
dataset_4,18,0.588,0.471,1.155,12,0.733,0.6,4.0,0.7487
dataset_5,21,0.486,0.432,1.12,12,0.733,0.6,4.0,0.6129
dataset_6,21,0.595,0.432,1.395,12,0.733,0.6,4.0,0.7238
dataset_7,19,0.606,0.424,1.147,14,0.733,0.533,4.472,0.7843
dataset_8,19,0.514,0.457,0.983,14,0.733,0.533,4.472,0.6572
dataset_9,17,0.571,0.514,0.924,11,0.759,0.621,3.873,0.7323
Overall Average,19.0000 ± 2.1602,0.5785 ± 0.0578,0.4667 ± 0.0432,1.1183 ± 0.1281,12.0000 ± 1.6997,0.7512 ± 0.0603,0.5977 ± 0.0519,4.0637 ± 0.3101,0.7035
