dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,16,0.563,0.5,1.125,11,0.69,0.621,3.606,4.9797
dataset_1,14,0.647,0.588,1.088,8,0.786,0.714,3.162,5.1137
dataset_2,18,0.563,0.438,1.094,10,0.786,0.643,3.742,4.83
dataset_3,14,0.6,0.533,1.036,10,0.692,0.615,3.464,5.2129
dataset_4,16,0.625,0.5,1.151,10,0.786,0.643,3.742,5.1571
dataset_5,17,0.545,0.485,1.109,10,0.714,0.643,3.464,4.4476
dataset_6,18,0.625,0.438,1.348,13,0.759,0.552,4.359,5.1293
dataset_7,17,0.552,0.414,1.117,13,0.667,0.519,4.123,5.6944
dataset_8,15,0.516,0.516,0.941,11,0.741,0.593,3.873,5.1543
dataset_9,17,0.545,0.485,0.936,10,0.786,0.643,3.742,5.5735
Overall Average,16.2000 ± 1.4757,0.5781 ± 0.0432,0.4897 ± 0.0512,1.0945 ± 0.1161,10.6000 ± 1.5055,0.7407 ± 0.0467,0.6186 ± 0.0543,3.7277 ± 0.3416,5.1293
