dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,5,0.8,0.8,0.609,4,0.833,0.833,2.0,0.7145
dataset_1,5,0.828,0.828,0.538,3,0.963,0.889,2.236,0.7259
dataset_2,4,0.833,0.833,0.661,4,0.818,0.818,2.0,0.756
dataset_3,3,0.88,0.88,0.57,3,0.87,0.87,1.732,0.7161
dataset_4,1,0.963,0.963,0.514,1,0.96,0.96,1.0,0.7186
dataset_5,3,0.88,0.88,0.638,3,0.87,0.87,1.732,0.703
dataset_6,5,0.828,0.828,0.615,4,0.846,0.846,2.0,0.7142
dataset_7,6,0.75,0.75,0.612,5,0.783,0.783,2.236,0.8006
dataset_8,7,0.741,0.741,0.551,7,0.8,0.72,3.0,0.7352
dataset_9,4,0.833,0.833,0.604,3,0.87,0.87,1.732,0.7903
Overall Average,4.3000 ± 1.7029,0.8336 ± 0.0648,0.8336 ± 0.0648,0.5912 ± 0.0464,3.7000 ± 1.5670,0.8613 ± 0.0607,0.8459 ± 0.0644,1.9668 ± 0.5073,0.7374
