dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.485
dataset_1,9,0.526,0.526,1.325,8,0.556,0.556,2.828,6.406
dataset_2,11,0.421,0.421,1.721,10,0.556,0.444,3.464,6.3652
dataset_3,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3862
dataset_4,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3508
dataset_5,11,0.476,0.476,1.959,10,0.6,0.5,3.464,6.3719
dataset_6,10,0.5,0.5,1.684,9,0.526,0.526,3.0,6.3434
dataset_7,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4131
dataset_8,10,0.444,0.444,1.225,9,0.471,0.471,3.0,6.304
dataset_9,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.385
Overall Average,9.6000 ± 0.8433,0.4997 ± 0.0395,0.4997 ± 0.0395,1.4689 ± 0.2345,8.6000 ± 0.8433,0.5489 ± 0.0326,0.5277 ± 0.0419,2.9896 ± 0.2597,6.3811
