dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,6,0.8,0.8,0.581,5,0.828,0.828,2.236,0.1469
dataset_1,7,0.774,0.774,0.544,5,0.897,0.828,2.646,0.1458
dataset_2,6,0.786,0.786,0.595,4,0.846,0.846,2.0,0.1413
dataset_3,5,0.828,0.828,0.524,4,0.923,0.846,2.449,0.1427
dataset_4,5,0.839,0.839,0.537,5,0.828,0.828,2.236,0.1444
dataset_5,6,0.8,0.8,0.646,3,0.889,0.889,1.732,0.142
dataset_6,10,0.722,0.722,0.659,9,0.774,0.71,3.317,0.1417
dataset_7,6,0.769,0.769,0.571,5,0.8,0.8,2.236,0.1852
dataset_8,8,0.75,0.75,0.56,9,0.759,0.69,3.317,0.186
dataset_9,7,0.759,0.759,0.574,4,0.857,0.857,2.0,0.1438
Overall Average,6.6000 ± 1.5055,0.7827 ± 0.0356,0.7827 ± 0.0356,0.5791 ± 0.0442,5.3000 ± 2.0575,0.8401 ± 0.0534,0.8122 ± 0.0637,2.4169 ± 0.5363,0.1520
