dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.95,30,0.483,0.6,0.9591
dataset_1,0.935,20,0.526,0.747,0.559
dataset_2,1.02,28,0.235,0.64,0.6879
dataset_3,0.965,25,0.303,0.68,0.6392
dataset_4,0.959,23,0.148,0.693,0.5276
dataset_5,0.983,24,0.333,0.68,0.7099
dataset_6,0.947,22,0.214,0.707,0.3615
dataset_7,1.0,23,0.303,0.693,0.8048
dataset_8,0.974,21,0.345,0.733,0.6635
dataset_9,1.024,30,0.176,0.613,0.737
Overall Average,0.976 ± 0.031,24.60 ± 3.60,0.307 ± 0.124,0.679 ± 0.048,0.6649 ± 0.1622
