dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,15,0.667,0.545,1.103,9,0.741,0.667,3.317,0.7078
dataset_1,26,0.45,0.35,1.192,16,0.625,0.5,4.472,0.5744
dataset_2,22,0.526,0.421,1.175,14,0.688,0.562,4.243,0.7118
dataset_3,19,0.514,0.457,1.092,11,0.69,0.621,3.606,0.8064
dataset_4,21,0.513,0.462,0.948,15,0.606,0.545,4.123,0.5947
dataset_5,19,0.541,0.486,1.112,10,0.733,0.667,3.464,0.7832
dataset_6,16,0.563,0.5,1.191,9,0.741,0.667,3.317,0.6318
dataset_7,22,0.5,0.45,1.173,11,0.774,0.645,3.873,0.7104
dataset_8,20,0.5,0.444,1.068,12,0.733,0.6,4.0,0.6381
dataset_9,23,0.541,0.378,1.239,16,0.688,0.5,4.69,0.7771
Overall Average,20.3000 ± 3.2677,0.5315 ± 0.0566,0.4493 ± 0.0568,1.1293 ± 0.0835,12.3000 ± 2.7508,0.7019 ± 0.0536,0.5974 ± 0.0669,3.9105 ± 0.4813,0.6936
