dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,13,0.621,0.552,1.074,9,0.72,0.64,3.317,5.2241
dataset_1,18,0.467,0.4,1.142,13,0.667,0.519,4.123,4.534
dataset_2,18,0.588,0.471,1.164,11,0.759,0.621,3.873,5.4182
dataset_3,18,0.5,0.438,1.087,12,0.643,0.571,3.742,5.8701
dataset_4,15,0.516,0.516,0.918,12,0.643,0.571,3.742,4.3354
dataset_5,15,0.552,0.483,1.114,10,0.692,0.615,3.464,5.3416
dataset_6,16,0.563,0.5,1.191,9,0.741,0.667,3.317,4.6852
dataset_7,17,0.571,0.514,1.158,10,0.733,0.667,3.464,5.2053
dataset_8,15,0.581,0.516,1.05,9,0.741,0.667,3.317,4.655
dataset_9,17,0.516,0.452,1.182,12,0.643,0.571,3.742,5.7668
Overall Average,16.2000 ± 1.6865,0.5475 ± 0.0468,0.4842 ± 0.0450,1.1080 ± 0.0818,10.7000 ± 1.4944,0.6982 ± 0.0462,0.6109 ± 0.0512,3.6101 ± 0.2758,5.1036
