dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,3,0.88,0.88,0.767,2,0.917,0.917,1.414,0.7235
dataset_1,6,0.75,0.75,0.999,5,0.783,0.783,2.236,0.7304
dataset_2,3,0.889,0.889,0.719,2,0.923,0.923,1.414,0.7746
dataset_3,3,0.88,0.88,0.861,2,0.917,0.917,1.414,0.7157
dataset_4,5,0.8,0.8,0.922,4,0.833,0.833,2.0,0.7183
dataset_5,5,0.783,0.783,0.978,4,0.818,0.818,2.0,0.7056
dataset_6,4,0.833,0.833,0.846,3,0.87,0.87,1.732,0.716
dataset_7,5,0.815,0.815,0.934,4,0.833,0.833,2.0,0.7169
dataset_8,6,0.727,0.727,0.91,5,0.762,0.762,2.236,0.7104
dataset_9,4,0.846,0.846,0.939,5,0.88,0.8,2.646,0.7229
Overall Average,4.4000 ± 1.1738,0.8203 ± 0.0559,0.8203 ± 0.0559,0.8875 ± 0.0897,3.6000 ± 1.2649,0.8536 ± 0.0571,0.8456 ± 0.0585,1.9092 ± 0.4148,0.7234
