dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4636
dataset_1,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3532
dataset_2,10,0.5,0.5,1.684,9,0.526,0.526,3.0,6.3695
dataset_3,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.3892
dataset_4,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4042
dataset_5,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.1766
dataset_6,9,0.526,0.526,1.355,8,0.556,0.556,2.828,6.4472
dataset_7,10,0.5,0.5,1.684,9,0.632,0.526,3.317,6.3724
dataset_8,10,0.5,0.5,1.684,9,0.526,0.526,3.0,6.309
dataset_9,10,0.5,0.5,1.684,9,0.526,0.526,3.0,6.3559
Overall Average,9.4000 ± 0.5164,0.5156 ± 0.0134,0.5156 ± 0.0134,1.4866 ± 0.1699,8.4000 ± 0.5164,0.5546 ± 0.0307,0.5440 ± 0.0155,2.9285 ± 0.1588,6.3641
