dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,7,0.788,0.788,0.797,5,0.897,0.828,2.646,0.1437
dataset_1,8,0.733,0.733,0.934,7,0.759,0.759,2.646,0.143
dataset_2,7,0.8,0.8,0.727,6,0.813,0.813,2.449,0.1423
dataset_3,5,0.848,0.848,0.888,4,0.867,0.867,2.0,0.1418
dataset_4,11,0.686,0.686,0.935,8,0.75,0.75,2.828,0.1427
dataset_5,8,0.733,0.733,0.943,6,0.786,0.786,2.449,0.141
dataset_6,9,0.69,0.69,0.861,6,0.786,0.786,2.449,0.1402
dataset_7,9,0.727,0.727,0.95,9,0.759,0.69,3.317,0.1714
dataset_8,9,0.727,0.727,0.833,7,0.774,0.774,2.646,0.1714
dataset_9,5,0.848,0.848,0.921,4,0.867,0.867,2.0,0.1549
Overall Average,7.8000 ± 1.8738,0.7580 ± 0.0595,0.7580 ± 0.0595,0.8789 ± 0.0741,6.2000 ± 1.6193,0.8058 ± 0.0529,0.7920 ± 0.0544,2.5430 ± 0.3842,0.1492
