dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.663,7,0.774,0.774,1.8628
dataset_1,0.804,10,0.667,0.667,1.9009
dataset_2,0.775,11,0.667,0.667,1.7554
dataset_3,1.15,9,0.667,0.667,1.8626
dataset_4,0.763,11,0.71,0.645,1.7706
dataset_5,0.774,6,0.786,0.786,1.8139
dataset_6,0.628,1,0.957,0.957,1.7439
dataset_7,0.915,11,0.621,0.621,1.8289
dataset_8,0.798,6,0.75,0.75,1.7346
dataset_9,0.891,9,0.667,0.667,1.8155
Overall Average,0.816 ± 0.146,8.10 ± 3.18,0.727 ± 0.097,0.720 ± 0.101,1.8089 ± 0.0566
