dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.973,20,0.412,0.733,2.9375
dataset_1,0.889,18,0.308,0.76,1.8185
dataset_2,0.938,20,0.167,0.733,2.0297
dataset_3,1.022,21,0.16,0.72,2.088
dataset_4,0.896,20,0.167,0.733,1.6672
dataset_5,1.009,22,0.214,0.707,2.2246
dataset_6,0.952,21,0.16,0.72,1.2756
dataset_7,1.023,21,0.16,0.72,2.3183
dataset_8,0.966,21,0.16,0.72,2.0855
dataset_9,1.048,22,0.083,0.707,2.2035
Overall Average,0.972 ± 0.054,20.60 ± 1.17,0.199 ± 0.094,0.725 ± 0.016,2.0648 ± 0.4365
