dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.909,23,0.489,0.693,0.8797
dataset_1,0.988,16,0.5,0.787,0.8609
dataset_2,1.05,21,0.16,0.72,0.7683
dataset_3,1.018,23,0.207,0.693,0.863
dataset_4,1.006,21,0.16,0.72,0.7649
dataset_5,1.069,22,0.214,0.707,0.7753
dataset_6,0.982,21,0.16,0.72,0.7663
dataset_7,1.086,22,0.154,0.707,0.7737
dataset_8,1.027,22,0.154,0.707,0.768
dataset_9,1.132,25,0.207,0.68,0.8626
Overall Average,1.027 ± 0.062,21.60 ± 2.32,0.240 ± 0.136,0.713 ± 0.029,0.8083 ± 0.0505
