dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.912,27,0.471,0.64,0.1421
dataset_1,0.967,16,0.556,0.787,0.1373
dataset_2,1.098,24,0.214,0.693,0.1361
dataset_3,1.055,27,0.242,0.653,0.139
dataset_4,1.005,21,0.16,0.72,0.1368
dataset_5,1.099,25,0.258,0.68,0.1395
dataset_6,0.978,21,0.16,0.72,0.1384
dataset_7,1.102,24,0.2,0.68,0.1394
dataset_8,1.032,23,0.222,0.707,0.1382
dataset_9,1.137,28,0.235,0.64,0.1423
Overall Average,1.039 ± 0.072,23.60 ± 3.60,0.272 ± 0.133,0.692 ± 0.045,0.1389 ± 0.0021
