dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.796,19,0.596,0.747,2.4512
dataset_1,0.997,21,0.4,0.72,2.412
dataset_2,1.039,26,0.235,0.653,2.3984
dataset_3,0.975,23,0.258,0.693,2.3127
dataset_4,0.999,25,0.138,0.667,2.3218
dataset_5,1.034,25,0.242,0.667,2.3588
dataset_6,0.975,23,0.207,0.693,2.3319
dataset_7,1.064,25,0.364,0.693,2.3413
dataset_8,0.976,22,0.333,0.72,2.3533
dataset_9,1.135,28,0.278,0.64,2.3352
Overall Average,0.999 ± 0.087,23.70 ± 2.63,0.305 ± 0.128,0.689 ± 0.033,2.3617 ± 0.0447
