dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,27,0.622,0.4,1.684,20,0.737,0.474,5.477,0.8866
dataset_1,33,0.511,0.298,1.642,21,0.703,0.432,5.568,0.9707
dataset_2,27,0.558,0.372,1.721,19,0.703,0.486,5.196,0.8078
dataset_3,24,0.667,0.429,1.624,15,0.8,0.571,4.796,0.6738
dataset_4,21,0.595,0.432,1.523,18,0.706,0.471,5.099,1.117
dataset_5,20,0.684,0.474,1.518,17,0.8,0.514,5.196,0.71
dataset_6,30,0.522,0.348,1.655,20,0.789,0.474,5.657,0.7896
dataset_7,24,0.65,0.4,1.576,20,0.778,0.444,5.657,0.9618
dataset_8,28,0.591,0.364,1.638,19,0.703,0.486,5.196,0.9204
dataset_9,25,0.615,0.359,1.708,19,0.743,0.457,5.385,0.8413
Overall Average,25.9000 ± 3.9567,0.6015 ± 0.0583,0.3876 ± 0.0502,1.6289 ± 0.0707,18.8000 ± 1.7512,0.7462 ± 0.0421,0.4809 ± 0.0391,5.3227 ± 0.2763,0.8679
