dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,22,0.6,0.45,1.64,18,0.778,0.5,5.292,6.5914
dataset_1,25,0.564,0.359,1.609,21,0.629,0.4,5.385,6.8906
dataset_2,23,0.615,0.41,1.711,19,0.686,0.457,5.196,6.0819
dataset_3,23,0.667,0.41,1.621,15,0.848,0.545,5.0,5.387
dataset_4,20,0.611,0.444,1.52,18,0.706,0.471,5.099,7.2644
dataset_5,19,0.606,0.424,1.493,17,0.71,0.452,5.0,5.3368
dataset_6,23,0.595,0.378,1.635,19,0.727,0.424,5.385,5.898
dataset_7,21,0.649,0.432,1.556,17,0.788,0.485,5.196,6.7633
dataset_8,20,0.667,0.444,1.595,18,0.765,0.471,5.292,6.812
dataset_9,20,0.647,0.412,1.663,17,0.71,0.452,5.0,6.5054
Overall Average,21.6000 ± 1.8974,0.6221 ± 0.0340,0.4163 ± 0.0295,1.6043 ± 0.0660,17.9000 ± 1.5951,0.7347 ± 0.0616,0.4657 ± 0.0400,5.1845 ± 0.1539,6.3531
