dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,7,0.788,0.788,0.823,5,0.839,0.839,2.236,0.7497
dataset_1,5,0.839,0.839,0.755,3,0.897,0.897,1.732,0.7529
dataset_2,3,0.903,0.903,0.664,2,0.933,0.933,1.414,0.7733
dataset_3,8,0.733,0.733,0.971,6,0.857,0.786,2.828,0.7393
dataset_4,6,0.824,0.824,0.683,4,0.875,0.875,2.0,0.7395
dataset_5,6,0.8,0.8,0.887,4,0.857,0.857,2.0,0.7332
dataset_6,4,0.875,0.875,0.722,2,0.933,0.933,1.414,0.7313
dataset_7,3,0.903,0.903,0.638,2,0.933,0.933,1.414,0.7363
dataset_8,4,0.875,0.875,0.783,3,0.903,0.903,1.732,0.7324
dataset_9,5,0.839,0.839,0.674,3,0.897,0.897,1.732,0.7294
Overall Average,5.1000 ± 1.6633,0.8379 ± 0.0541,0.8379 ± 0.0541,0.7600 ± 0.1075,3.4000 ± 1.3499,0.8924 ± 0.0346,0.8853 ± 0.0475,1.8502 ± 0.4425,0.7417
