dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,13,0.522,0.435,2.203,12,0.545,0.455,3.742,6.5476
dataset_1,12,0.455,0.455,1.739,11,0.476,0.476,3.317,6.4549
dataset_2,13,0.381,0.381,1.635,12,0.4,0.4,3.464,6.4295
dataset_3,14,0.3,0.3,1.655,13,0.316,0.316,3.606,6.4509
dataset_4,12,0.455,0.455,1.739,11,0.476,0.476,3.317,6.4294
dataset_5,11,0.522,0.522,1.751,10,0.545,0.545,3.162,6.3952
dataset_6,13,0.381,0.381,1.648,12,0.4,0.4,3.464,6.3522
dataset_7,13,0.522,0.435,2.225,12,0.545,0.455,3.742,6.4558
dataset_8,11,0.522,0.522,1.751,10,0.545,0.545,3.162,6.4123
dataset_9,12,0.455,0.455,1.648,11,0.476,0.476,3.317,6.3999
Overall Average,12.4000 ± 0.9661,0.4515 ± 0.0766,0.4341 ± 0.0670,1.7994 ± 0.2235,11.4000 ± 0.9661,0.4724 ± 0.0789,0.4544 ± 0.0690,3.4293 ± 0.2134,6.4328
