dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,14,0.682,0.682,0.789,10,0.789,0.737,3.464,0.1488
dataset_1,8,0.778,0.778,0.705,7,0.848,0.788,3.0,0.1466
dataset_2,7,0.8,0.8,0.682,6,0.824,0.824,2.449,0.1456
dataset_3,12,0.684,0.684,0.988,7,0.857,0.8,3.0,0.1428
dataset_4,8,0.789,0.789,0.709,6,0.882,0.824,2.828,0.1485
dataset_5,9,0.727,0.727,0.936,8,0.8,0.733,3.162,0.1435
dataset_6,5,0.848,0.848,0.741,4,0.933,0.867,2.449,0.1433
dataset_7,4,0.889,0.889,0.648,2,0.941,0.941,1.414,0.1839
dataset_8,6,0.842,0.842,0.742,4,0.889,0.889,2.0,0.145
dataset_9,10,0.737,0.737,0.687,7,0.8,0.8,2.646,0.1419
Overall Average,8.3000 ± 3.0930,0.7776 ± 0.0701,0.7776 ± 0.0701,0.7627 ± 0.1125,6.1000 ± 2.2828,0.8563 ± 0.0545,0.8203 ± 0.0649,2.6412 ± 0.5992,0.1490
