dataset,Frobenius,SHD,F1,F1_directed,runtime
dataset_0,0.626,9,0.667,0.667,1.9512
dataset_1,0.369,8,0.8,0.733,1.9153
dataset_2,0.492,6,0.786,0.786,1.8335
dataset_3,0.492,7,0.759,0.759,1.9126
dataset_4,0.428,4,0.846,0.846,1.8263
dataset_5,0.461,4,0.846,0.846,1.8227
dataset_6,0.457,4,0.846,0.846,1.8534
dataset_7,0.533,6,0.786,0.786,1.8595
dataset_8,0.603,10,0.667,0.667,1.7771
dataset_9,0.534,8,0.692,0.692,1.8141
Overall Average,0.499 ± 0.078,6.60 ± 2.17,0.770 ± 0.072,0.763 ± 0.072,1.8566 ± 0.0540
