dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,123,0.434,0.349,2.824,97,0.515,0.405,10.724,56.3796
dataset_1,114,0.444,0.367,2.694,92,0.512,0.425,10.296,55.0377
dataset_2,112,0.456,0.378,2.847,84,0.545,0.455,9.899,58.4955
dataset_3,125,0.408,0.346,2.84,98,0.512,0.402,10.77,56.1159
dataset_4,125,0.411,0.324,2.767,89,0.503,0.426,10.05,53.3468
dataset_5,137,0.404,0.325,3.074,106,0.512,0.384,11.314,56.598
dataset_6,123,0.423,0.349,2.83,95,0.503,0.417,10.44,53.9749
dataset_7,109,0.47,0.404,2.683,86,0.538,0.462,9.899,57.2449
dataset_8,126,0.418,0.357,2.978,98,0.5,0.417,10.583,56.671
dataset_9,130,0.404,0.343,3.005,102,0.5,0.393,10.954,59.1916
Overall Average,122.4000 ± 8.5401,0.4272 ± 0.0231,0.3542 ± 0.0241,2.8542 ± 0.1294,94.7000 ± 6.9769,0.5140 ± 0.0156,0.4186 ± 0.0250,10.4929 ± 0.4677,56.3056
