dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,199,0.356,0.276,2.936,129,0.483,0.389,12.207,11.9052
dataset_1,201,0.354,0.274,3.035,132,0.476,0.371,12.41,11.47
dataset_2,182,0.352,0.289,3.077,128,0.466,0.379,12.083,11.1459
dataset_3,201,0.347,0.274,3.086,135,0.475,0.384,12.45,11.507
dataset_4,194,0.353,0.271,3.039,132,0.471,0.365,12.41,12.0415
dataset_5,188,0.381,0.299,2.969,127,0.478,0.392,12.042,10.4492
dataset_6,203,0.356,0.278,3.179,133,0.47,0.387,12.288,12.107
dataset_7,190,0.368,0.286,2.923,128,0.486,0.39,12.166,11.0
dataset_8,193,0.355,0.272,3.027,131,0.488,0.373,12.45,11.5926
dataset_9,207,0.383,0.279,3.104,143,0.475,0.359,13.0,11.344
Overall Average,195.8000 ± 7.7287,0.3605 ± 0.0125,0.2798 ± 0.0089,3.0375 ± 0.0793,131.8000 ± 4.6857,0.4768 ± 0.0071,0.3789 ± 0.0114,12.3506 ± 0.2737,11.4562
