dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,77,0.413,0.364,2.635,63,0.523,0.432,8.544,82.6247
dataset_1,83,0.458,0.366,2.779,70,0.541,0.426,9.165,78.1269
dataset_2,81,0.45,0.372,2.852,69,0.521,0.42,9.0,78.809
dataset_3,87,0.419,0.326,2.843,75,0.496,0.38,9.434,76.3172
dataset_4,79,0.448,0.368,2.754,68,0.525,0.424,8.944,81.0352
dataset_5,91,0.453,0.336,2.789,74,0.54,0.413,9.487,75.0125
dataset_6,84,0.446,0.354,2.889,71,0.545,0.413,9.327,81.8382
dataset_7,77,0.463,0.364,2.616,64,0.536,0.429,8.718,78.4034
dataset_8,79,0.439,0.358,2.813,70,0.5,0.397,9.055,77.5402
dataset_9,80,0.452,0.355,2.851,67,0.513,0.407,8.888,78.3927
Overall Average,81.8000 ± 4.5166,0.4441 ± 0.0162,0.3563 ± 0.0147,2.7821 ± 0.0918,69.1000 ± 3.8427,0.5240 ± 0.0171,0.4141 ± 0.0161,9.0562 ± 0.3045,78.8100
