dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,35,0.696,0.696,1.726,25,0.757,0.757,5.0,6.8684
dataset_1,38,0.655,0.655,1.919,28,0.72,0.72,5.292,6.8549
dataset_2,33,0.708,0.708,1.702,25,0.777,0.757,5.196,6.8217
dataset_3,35,0.701,0.701,1.775,24,0.792,0.774,5.099,6.9833
dataset_4,36,0.695,0.695,1.738,27,0.752,0.752,5.196,7.0062
dataset_5,37,0.678,0.678,1.782,26,0.75,0.75,5.099,6.8607
dataset_6,42,0.618,0.618,2.014,33,0.673,0.673,5.745,6.8815
dataset_7,33,0.692,0.692,1.87,25,0.747,0.747,5.0,6.8948
dataset_8,33,0.703,0.703,1.847,25,0.752,0.752,5.0,6.9468
dataset_9,33,0.727,0.727,1.794,26,0.759,0.759,5.099,6.9623
Overall Average,35.5000 ± 2.9155,0.6873 ± 0.0308,0.6873 ± 0.0308,1.8167 ± 0.0967,26.4000 ± 2.5906,0.7479 ± 0.0324,0.7441 ± 0.0284,5.1726 ± 0.2233,6.9081
